Time,Value,Value Attributes
3-Jan-2024,06:52:11.5,0.00
2-Jan-2024,23:01:52.15625,0.00
2-Jan-2024,15:11:34.84375,0.00
2-Jan-2024,07:21:08.9375,0.00
1-Jan-2024,23:30:51.28125,0.00
1-Jan-2024,15:40:38.40625,0.00
1-Jan-2024,07:50:33.375,0.00
1-Jan-2024,00:00:27.6875,0.00
31-Dec-2023,16:10:14.15625,0.00
31-Dec-2023,08:20:04.34375,0.00
31-Dec-2023,00:29:48.0625,0.00
30-Dec-2023,16:39:34.6875,0.00
30-Dec-2023,08:49:15.5625,0.00
30-Dec-2023,00:58:54.4375,0.00
29-Dec-2023,17:08:39.875,0.00
29-Dec-2023,09:18:26.5625,0.00
29-Dec-2023,01:28:06.75,0.00
28-Dec-2023,17:37:47.0625,0.00
28-Dec-2023,09:47:30.375,0.00
28-Dec-2023,01:57:19.625,0.00
27-Dec-2023,18:07:00.875,0.00
27-Dec-2023,10:16:39.8125,0.00
27-Dec-2023,02:26:24.5,0.00
26-Dec-2023,18:36:11.90625,0.00
26-Dec-2023,10:45:59.09375,0.00
26-Dec-2023,02:55:53.15625,0.00
25-Dec-2023,19:05:41.34375,0.00
25-Dec-2023,11:15:28.59375,0.00
25-Dec-2023,03:25:16.4375,0.00
24-Dec-2023,19:35:04.3125,0.00
24-Dec-2023,11:44:50.3125,0.00
24-Dec-2023,03:54:38.28125,0.00
23-Dec-2023,20:04:13.84375,0.00
23-Dec-2023,12:13:54.3125,0.00
23-Dec-2023,04:23:31.0625,0.00
22-Dec-2023,20:33:14.53125,0.00
22-Dec-2023,12:42:54,0.00
22-Dec-2023,04:52:29,0.00
21-Dec-2023,21:02:09,0.00
21-Dec-2023,13:11:53.90625,0.00
21-Dec-2023,05:21:34.8125,0.00
20-Dec-2023,21:31:15.375,0.00
20-Dec-2023,13:40:50.90625,0.00
20-Dec-2023,05:50:25.3125,0.00
19-Dec-2023,22:00:08.125,0.00
19-Dec-2023,14:09:49.65625,0.00
19-Dec-2023,06:19:31.78125,0.00
