Name	\\HST1\T1.A26BTI
Data Type	Float 32
Number of Values	69864
Time	Value	Value Attributes
9-Nov-2023 18:12:58.1875	51
9-Nov-2023 18:11:11.9375	51
9-Nov-2023 18:04:40.6875	51
9-Nov-2023 18:04:17.59375	51
9-Nov-2023 18:04:10.5625	51
9-Nov-2023 17:54:33.875	51
9-Nov-2023 17:43:44.46875	51
9-Nov-2023 17:40:11.5625	51
9-Nov-2023 17:34:48.65625	51
9-Nov-2023 17:31:12	51
9-Nov-2023 17:28:43.34375	51
9-Nov-2023 17:25:54.8125	51
9-Nov-2023 17:23:08.375	51
9-Nov-2023 17:21:57.1875	51
9-Nov-2023 17:16:45.40625	51
9-Nov-2023 17:16:17.3125	51
9-Nov-2023 17:16:16.3125	51
9-Nov-2023 17:16:15.3125	51
9-Nov-2023 17:15:38.28125	51
9-Nov-2023 17:12:43.71875	51
9-Nov-2023 17:12:42.71875	51
9-Nov-2023 17:11:45.625	51
9-Nov-2023 17:02:32.375	51
9-Nov-2023 17:02:24.3125	51
9-Nov-2023 17:02:23.3125	51
9-Nov-2023 16:59:56	51
9-Nov-2023 16:58:17.59375	51
9-Nov-2023 16:54:27.875	51
9-Nov-2023 16:50:44.5625	51
9-Nov-2023 16:47:02.625	51
9-Nov-2023 16:39:57.71875	51
9-Nov-2023 16:36:21.96875	51
9-Nov-2023 16:36:08.90625	51
9-Nov-2023 16:36:06.90625	51
9-Nov-2023 16:32:50.125	51
9-Nov-2023 16:29:01.46875	51
9-Nov-2023 16:23:06.59375	51
9-Nov-2023 16:20:25.96875	51
9-Nov-2023 16:15:29.84375	51
9-Nov-2023 16:15:23.84375	51
9-Nov-2023 16:14:51.75	51
9-Nov-2023 16:10:32.96875	51
9-Nov-2023 16:05:32.03125	51
9-Nov-2023 16:00:25.9375	51
9-Nov-2023 15:56:08.40625	51
9-Nov-2023 15:45:50.25	51
9-Nov-2023 15:44:07.03125	51
9-Nov-2023 15:38:06.96875	51
9-Nov-2023 15:31:48.5625	51
9-Nov-2023 15:27:07.71875	51
9-Nov-2023 15:27:05.71875	51
9-Nov-2023 15:27:04.71875	51
9-Nov-2023 15:25:24.4375	51
9-Nov-2023 15:23:25.78125	51
9-Nov-2023 15:13:36.0625	51
9-Nov-2023 15:05:44.78125	51
9-Nov-2023 15:05:35.71875	51
9-Nov-2023 15:04:13.46875	51
9-Nov-2023 15:04:09.40625	51
