Date,Time,T3_PTVIB_A
7-Nov-2023,05:19:54.85121,0.7
7-Nov-2023,13:10:36.82652,0.7
7-Nov-2023,21:01:18.14894,0.7
8-Nov-2023,04:52:00.10526,0.7
8-Nov-2023,12:42:40.79578,0.7
8-Nov-2023,20:33:23.07504,0.6
9-Nov-2023,04:24:05.03436,0.6
9-Nov-2023,12:14:44.76102,0.7
9-Nov-2023,20:05:27.04929,0.8
10-Nov-2023,03:56:07.7328,0.7
10-Nov-2023,11:46:48.41931,0.7
10-Nov-2023,19:37:30.70958,0.7
11-Nov-2023,03:09:10.43669,0.7
11-Nov-2023,03:09:10.43669,Bad
11-Nov-2023,03:13:26.71648,0.9
11-Nov-2023,03:25:32.36143,0.7
11-Nov-2023,03:25:32.36143,Bad
11-Nov-2023,03:30:19.67647,0.7
11-Nov-2023,11:21:01.6368,0.7
11-Nov-2023,19:11:43.60811,0.7
12-Nov-2023,03:02:25.25047,0.8
12-Nov-2023,10:53:07.21779,0.7
12-Nov-2023,18:43:47.2704,0.7
13-Nov-2023,02:34:28.60081,0.8
13-Nov-2023,10:25:10.56413,0.7
13-Nov-2023,18:15:52.53445,0.7
14-Nov-2023,02:06:32.57407,0.7
14-Nov-2023,09:57:13.25558,0.7
14-Nov-2023,17:47:54.26805,0.7
15-Nov-2023,01:38:36.22937,0.7
15-Nov-2023,09:29:18.18968,0.8
